experiment,duration_dp,solution_dp,optimal_dp,message_dp,duration_iqcp,solution_iqcp,optimal_iqcp,message_iqcp,duration,solution,optimal,message,duration_miqcp,solution_miqcp,optimal_miqcp,message_miqcp,duration_greedy,solution_greedy,optimal_greedy,message_greedy,n_nodes,solution_rollout,final_damage,time_taken,optimal_rollout,diff_dp_rollout,diff_iqcp_rollout,diff_ilp_rollout,diff_miqcp_rollout,diff_greedy_rollout
35,,,,,737.5245146751404,"[-1, 52, 12]",71.0,Done!,947.6931436061859,,,ERROR: ,,,,,0.007419109344482422,"[-1, 52, 12]",71,Done!,75,"[0, 41, 5]",1,25.318439429000136,74,,3.0,,,3
36,,,,,12748.104264736176,"[-1, 54, 40, 29, 21, 25, 27, 58]",65.0,Done!,1018.6010630130768,,,ERROR: ,,,,,0.007631540298461914,"[-1, 29, 67, 70, 45]",59,Done!,75,"[66, 0, 40, 29, 67, 58, 45, 70]",12,68.8696669410001,63,,-2.0,,,4
37,,,,,859.7922012805939,"[-1, 5, 63, 50, 29]",69.0,Done!,1054.3817796707153,,,ERROR: ,,,,,0.006953716278076172,"[-1, 5, 29]",65,Done!,75,"[39, 0, 5, 50, 63]",3,80.4108557720001,72,,3.0,,,7
38,,,,,966.4740946292877,"[-1, 44, 2, 7]",73.0,Done!,1181.8140380382538,,,ERROR: ,,,,,0.006745815277099609,"[-1, 2, 7]",72,Done!,75,"[7, 53]",4,76.83290439800021,71,,-2.0,,,-1
39,,,,,499.41710233688354,"[-1, 42, 38, 63, 31, 33]",69.0,Done!,660.4823682308197,,,ERROR: ,,,,,0.007153034210205078,"[-1, 42, 63, 33, 31, 46]",68,Done!,75,"[0, 46, 69, 36, 26, 58]",14,58.802336458000354,61,,-8.0,,,-7
40,,,,,1306.3808846473694,"[-1, 69, 73, 3, 60, 14, 30]",69.0,Done!,895.2078011035919,,,ERROR: ,,,,,0.007636547088623047,"[-1, 73, 3, 6, 58, 72, 1]",62,Done!,75,"[0, 73, 8, 30, 53, 50, 11, 16]",18,64.21642906700072,57,,-12.0,,,-5
41,,,,,3565.7875645160675,"[-1, 58, 29, 38]",99.0,Done!,4040.3332669734955,,,ERROR: ,,,,,0.00911855697631836,"[-1, 38]",97,Done!,100,"[0, 71]",4,94.32911653599967,96,,-3.0,,,-1
42,,,,,2059.77290225029,"[-1, 46, 10]",97.0,Done!,3022.924403190613,,,ERROR: ,,,,,0.00872802734375,"[-1, 46, 10]",97,Done!,100,"[42, 0, 70, 14, 29, 93, 12]",5,157.96447439699932,95,,-2.0,,,-2
43,,,,,2591.8490533828735,"[-1, 12, 68, 98, 35]",96.0,Done!,3170.6341514587402,,,ERROR: ,,,,,0.00899052619934082,"[-1, 68, 12, 98, 93]",95,Done!,100,"[57, 35]",3,45.319827311000154,97,,1.0,,,2
44,,,,,3300.5156140327454,"[-1, 3, 22, 16]",98.0,Done!,3691.8290073871613,,,ERROR: ,,,,,0.008602380752563477,"[-1, 22, 16, 62]",97,Done!,100,"[16, 34, 74, 37]",6,168.70633278399964,94,,-4.0,,,-3
